Personality1_Vigilant,Personality2_Stable,Personality3_Bold,Personality4_Clumsy,Personality5_Defiant,Personality6_Gentle,Personality7_Constrained,Personality8_Inquisitive,Personality9_Inventive,Personality10_Irritable,Personality11_Distractable,Personality12_Erratic,Personality13_Solitary,Personality14_Impulsive,Personality15_Quitting,Personality16_Independent,Personality17_Smart,Personality18_Jealous,Personality19_Fearful_other_cats,Personality20_Persevering,Personality21_Greedy,Personality22_Friendly_other_cats,Personality23_Submissive,Personality24_Dominant,Personality25_Reckless,Personality26_Predictable,Personality27_Suspicious,Personality28_Individualistic,Personality29_Affectionate,Personality30_Insecure,Personality31_Bullying,Personality32_Curious,Personality33_Aimless,Personality34_Deliberate,Personality35_Tense,Personality36_Fearful_of_people,Personality37_Cool,Personality38_Aggressive_to_people,Personality39_Calm,Personality40_Aggressive_other_cats,Personality41_Excitable,Personality42_Friendly_to_people,Personality43_Playful,Personality44_Vocal,Personality45_Decisive,Personality46_Self_assured,Personality47_Anxious,Personality48_Trusting,Personality49_Active,Personality50_Cooperative,Personality51_Shy,Personality52_Eccentric,Country,Cat_sex
6,5,7,5,5,6,1,5,4,3,3,1,2,5,4,5,5,5,6,5,5,5,6,5,5,3,6,4,5,2,4,5,2,5,4,3,3,1,5,5,5,5,4,7,4,6,4,5,7,2,2,4,NewZealand,Male
7,3,4,1,7,7,3,4,3,2,5,2,2,5,4,3,3,5,6,3,5,2,1,6,6,6,1,2,7,6,6,4,2,5,6,1,2,1,2,7,5,7,4,2,4,3,6,6,1,6,2,5,NewZealand,Female
7,5,7,1,2,3,3,7,7,2,2,4,4,3,2,7,7,5,1,7,7,4,3,5,5,2,3,5,5,4,4,7,4,5,2,3,3,2,5,5,4,3,7,6,7,6,3,4,7,2,3,4,Australia,Male
7,4,1,1,7,2,7,1,3,7,1,6,7,1,4,7,7,2,3,4,2,2,2,7,2,7,7,4,2,5,2,2,2,7,6,6,5,4,3,3,4,1,2,2,5,3,3,2,2,2,6,2,Australia,Female
5,7,7,1,4,7,7,4,4,1,2,2,2,2,2,5,6,2,2,6,4,4,2,6,2,3,2,5,7,1,1,5,2,6,1,1,7,1,7,2,2,7,5,6,5,7,1,7,7,6,2,7,Australia,Male
5,5,5,5,2,6,6,3,1,4,6,2,6,2,5,5,2,2,5,3,3,4,4,4,2,6,2,4,5,2,4,4,6,2,5,4,6,1,6,4,2,5,3,5,5,5,2,5,3,4,4,4,Australia,Female
7,2,7,1,7,5,2,6,4,5,4,4,5,2,3,5,5,5,1,4,5,3,2,7,6,6,5,5,3,3,5,7,2,5,4,2,6,2,4,7,2,5,3,5,7,7,2,2,6,5,2,4,Australia,Male
6,2,1,6,6,5,6,6,5,5,5,2,1,5,6,4,5,7,5,6,7,3,5,2,3,6,7,5,6,7,6,5,3,5,6,7,2,2,2,5,6,2,5,6,5,2,7,1,6,3,6,5,Australia,Female
4,7,5,1,6,4,7,4,1,5,5,1,3,5,1,5,4,5,3,1,1,1,4,4,1,4,3,1,3,5,1,3,5,1,1,3,3,5,3,5,1,3,1,1,3,5,5,3,7,7,5,1,Australia,Male
7,1,1,4,4,7,7,1,1,6,1,4,7,1,4,1,1,1,7,1,1,1,7,1,1,7,7,7,7,7,1,1,7,1,7,7,4,4,1,7,4,7,1,7,1,1,7,1,1,1,7,7,Australia,Female
1,7,1,5,5,4,5,5,4,1,1,5,7,4,5,3,4,1,4,7,1,3,3,4,7,5,5,7,7,5,4,5,5,3,4,1,2,1,2,5,4,7,5,5,3,3,5,4,2,5,5,4,Australia,Male
6,4,7,2,7,2,5,5,3,5,1,2,5,5,1,7,6,5,1,7,7,3,1,7,4,7,2,7,1,1,6,4,2,5,3,2,3,6,6,2,1,1,1,1,5,7,1,4,2,1,1,4,Australia,Male
5,7,7,1,4,6,2,7,7,1,5,1,4,6,5,4,7,1,1,4,1,5,1,5,5,3,1,6,7,1,4,7,3,5,1,1,7,1,7,1,1,7,6,6,5,7,1,7,6,5,1,5,Australia,Male
7,6,6,1,1,7,6,6,4,2,2,5,2,6,4,7,7,1,6,2,2,2,4,2,1,4,2,6,7,6,1,6,2,4,1,2,6,1,2,1,2,7,5,2,3,7,5,4,2,3,4,3,Australia,Male
6,7,5,4,1,7,2,6,4,2,7,2,2,5,2,7,6,1,1,6,2,7,4,4,2,6,2,2,6,2,1,7,4,4,1,1,3,1,6,1,4,6,7,7,4,7,3,6,7,5,2,4,Australia,Female
7,7,7,3,2,7,5,6,6,1,3,2,6,5,5,5,7,1,4,5,3,6,5,3,3,5,1,5,7,1,4,6,3,5,1,1,7,1,7,4,1,7,6,7,7,7,1,7,7,7,1,3,Australia,Male
7,3,3,2,5,1,1,1,2,7,2,4,7,2,4,6,7,1,7,2,7,1,1,4,1,6,7,7,2,1,1,3,1,5,6,1,1,7,2,7,4,1,2,7,6,6,6,3,6,3,7,4,Australia,Female
5,6,5,5,5,5,5,7,3,3,5,4,1,5,5,7,6,5,1,3,7,5,1,7,7,4,6,5,7,3,6,5,3,5,3,1,5,1,6,7,3,7,5,3,5,6,3,6,3,2,3,1,Australia,Male
7,1,3,1,5,5,3,1,6,1,5,1,1,5,3,3,1,1,4,6,2,5,5,3,7,2,6,7,7,5,3,7,3,3,5,1,3,1,2,7,5,7,7,1,2,5,5,3,7,4,3,5,Australia,Male
4,3,5,2,3,5,3,4,3,3,5,5,2,5,3,3,5,3,3,3,3,5,2,4,5,2,6,5,5,5,3,3,5,3,5,5,3,2,3,2,5,4,5,4,3,3,5,4,5,3,3,3,Australia,Female
5,2,5,2,6,5,4,5,6,3,5,5,3,5,5,5,6,2,3,3,6,5,3,5,5,3,2,3,6,2,5,5,5,5,2,2,2,2,5,3,4,6,5,6,5,5,5,5,5,2,3,4,Australia,Male
6,6,6,2,5,5,5,7,5,5,5,3,6,5,3,5,5,3,6,5,6,3,5,3,3,5,5,6,5,3,3,6,3,6,3,4,5,2,5,2,2,5,5,6,5,5,3,5,6,6,5,3,Australia,Female
